Function,Full Alg,Ce Alg,Precision,CommFull(MB),CommCe(MB),Saving(%)
ridge,DisGrem,CeDisGrem,1e-03,8.01,6.36,20.7
ridge,DisGrem,CeDisGrem,1e-04,9.43,7.48,20.7
ridge,DisGrem,CeDisGrem,1e-05,10.24,8.13,20.7
ridge,DisGrem,CeDisGrem,1e-06,11.22,8.77,21.8
ridge,DisGrem,CeDisGrem,1e-07,11.71,9.26,20.9
ridge,DisGrem,CeDisGrem,1e-08,12.32,9.95,19.2
ridge,DisGrem,CeDisGrem,1e-09,12.32,10.06,18.3
ridge,DisGrem,CeDisGrem,1e-10,13.13,10.89,17.1
ridge,AdaDisGrem,CeAdaDisGrem,1e-03,4.72,3.62,23.3
ridge,AdaDisGrem,CeAdaDisGrem,1e-04,5.24,4.02,23.2
ridge,AdaDisGrem,CeAdaDisGrem,1e-05,5.68,4.50,20.7
ridge,AdaDisGrem,CeAdaDisGrem,1e-06,5.84,4.50,22.9
ridge,AdaDisGrem,CeAdaDisGrem,1e-07,6.33,5.02,20.8
ridge,AdaDisGrem,CeAdaDisGrem,1e-08,6.77,5.62,16.9
ridge,AdaDisGrem,CeAdaDisGrem,1e-09,7.23,6.38,11.8
ridge,AdaDisGrem,CeAdaDisGrem,1e-10,7.83,6.61,15.5
logsumexp,DisGrem,CeDisGrem,1e-03,140.47,113.74,19.0
logsumexp,DisGrem,CeDisGrem,1e-04,160.75,130.19,19.0
logsumexp,DisGrem,CeDisGrem,1e-05,173.08,140.30,18.9
logsumexp,DisGrem,CeDisGrem,1e-06,180.55,146.42,18.9
logsumexp,DisGrem,CeDisGrem,1e-07,184.91,149.71,19.0
logsumexp,DisGrem,CeDisGrem,1e-08,187.54,152.00,19.0
logsumexp,DisGrem,CeDisGrem,1e-09,189.48,153.66,18.9
logsumexp,DisGrem,CeDisGrem,1e-10,190.58,154.55,18.9
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-03,12.98,9.82,24.4
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-04,14.00,10.71,23.5
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-05,14.97,11.47,23.4
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-06,15.76,12.22,22.4
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-07,16.36,15.57,4.8
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-08,17.17,17.28,-0.6
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-09,17.93,18.40,-2.6
logsumexp,AdaDisGrem,CeAdaDisGrem,1e-10,18.58,19.40,-4.4
huber,DisGrem,CeDisGrem,1e-03,36.28,27.15,25.2
huber,DisGrem,CeDisGrem,1e-04,43.66,32.86,24.7
huber,DisGrem,CeDisGrem,1e-05,48.82,36.93,24.4
huber,DisGrem,CeDisGrem,1e-06,51.93,39.51,23.9
huber,DisGrem,CeDisGrem,1e-07,54.06,41.51,23.2
huber,DisGrem,CeDisGrem,1e-08,55.47,42.90,22.7
huber,DisGrem,CeDisGrem,1e-09,56.49,44.09,21.9
huber,DisGrem,CeDisGrem,1e-10,57.44,45.10,21.5
huber,AdaDisGrem,CeAdaDisGrem,1e-03,17.44,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-04,20.18,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-05,21.96,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-06,23.43,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-07,24.24,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-08,25.04,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-09,26.15,NaN,-
huber,AdaDisGrem,CeAdaDisGrem,1e-10,26.59,NaN,-
logreg_real,DisGrem,CeDisGrem,1e-03,22.33,18.40,17.6
logreg_real,DisGrem,CeDisGrem,1e-04,26.74,21.98,17.8
logreg_real,DisGrem,CeDisGrem,1e-05,29.53,24.35,17.6
logreg_real,DisGrem,CeDisGrem,1e-06,31.38,25.78,17.9
logreg_real,DisGrem,CeDisGrem,1e-07,32.68,26.73,18.2
logreg_real,DisGrem,CeDisGrem,1e-08,33.44,27.58,17.5
logreg_real,DisGrem,CeDisGrem,1e-09,34.09,28.04,17.7
logreg_real,DisGrem,CeDisGrem,1e-10,34.63,28.32,18.2
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-03,7.49,6.57,12.3
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-04,8.43,8.20,2.8
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-05,9.08,10.84,-19.3
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-06,9.44,11.52,-22.0
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-07,9.90,14.10,-42.4
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-08,10.09,14.43,-43.0
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-09,10.83,14.79,-36.6
logreg_real,AdaDisGrem,CeAdaDisGrem,1e-10,11.31,15.22,-34.6
